ts,t,h
"1487115024","21.8","34.1"
"1487115325","21.9","34.1"
"1487115627","21.7","34.2"
"1487115928","21.9","34.2"
"1487116229","21.8","34.2"
"1487116530","21.8","34.2"
"1487116831","21.8","34.2"
"1487117434","21.8","34.2"
"1487117735","21.9","34.2"
"1487118035","21.8","34.4"
"1487118337","21.7","34.4"
"1487118638","21.7","34.4"
"1487118939","21.8","34.2"
"1487119240","21.8","34.3"
"1487119541","21.7","34.5"
"1487119841","21.6","34.4"
"1487120142","21.7","34.5"
"1487120443","21.7","34.3"
"1487120744","21.7","34.3"
"1487121046","21.6","34.2"
"1487121346","21.7","34.3"
"1487121647","21.8","34.2"
"1487121948","21.7","34.3"
"1487122248","21.7","34.2"
"1487122549","21.7","34.1"
"1487122849","21.7","34.3"
"1487123150","21.7","34.3"
"1487123451","21.6","34.2"
"1487124055","21.6","34.1"
"1487124356","21.6","34.2"
"1487124657","21.5","34.2"
"1487124957","21.5","34.4"
"1487125259","21.5","34.3"
"1487125559","21.5","34.2"
"1487125861","21.5","34.4"
"1487126162","21.5","34.4"
"1487126463","21.5","34.3"
"1487126763","21.5","34.3"
"1487127065","21.4","34.5"
"1487127365","21.4","34.5"
"1487127666","21.5","34.9"
"1487127967","21.6","34.8"
"1487128268","21.6","34.8"
"1487128569","21.7","34.7"
"1487128869","21.8","33.8"
"1487129170","21.9","34.7"
"1487129471","21.9","34.7"
"1487129772","22.0","34.7"
"1487130074","22.1","34.7"
"1487130374","22.1","34.7"
"1487130675","22.2","34.7"
"1487130976","22.3","34.7"
"1487131579","22.5","34.6"
"1487132182","22.6","34.6"
"1487132483","22.7","34.5"
"1487132784","22.7","34.5"
"1487133085","22.7","34.5"
"1487133385","22.7","34.6"
"1487133686","22.7","34.6"
"1487133986","22.7","34.7"
"1487134287","22.7","34.6"
"1487134588","22.6","34.7"
"1487134888","22.6","34.7"
"1487135190","22.5","34.8"
"1487135491","22.5","34.8"
"1487135792","22.5","34.8"
"1487136093","22.5","35.0"
"1487136394","22.5","35.0"
"1487136694","22.5","35.0"
"1487136995","22.4","35.0"
"1487137296","22.4","35.0"
"1487137597","22.4","35.1"
"1487137897","22.4","35.1"
"1487138199","22.3","34.9"
"1487138500","22.3","34.9"
"1487138802","22.3","35.0"
"1487139103","22.2","35.1"
"1487139404","22.2","35.0"
"1487139705","22.2","35.0"
"1487140308","22.1","35.1"
"1487140609","22.1","35.2"
"1487140910","22.1","35.2"
"1487141211","22.0","35.3"
"1487141512","22.0","35.3"
"1487141812","22.0","35.2"
"1487142113","22.0","35.2"
"1487142414","22.1","35.2"
"1487142715","22.0","35.1"
"1487143015","22.0","35.1"
"1487143316","22.0","35.0"
"1487143617","22.1","35.0"
"1487143918","22.1","35.0"
"1487144219","22.0","35.0"
"1487144519","22.0","35.0"
"1487144820","21.9","35.0"
"1487145121","21.9","35.1"
"1487145421","22.0","35.1"
"1487145722","21.9","35.1"
"1487146023","21.9","35.1"
"1487146324","21.9","35.2"
"1487146927","21.9","35.2"
"1487147228","21.8","35.1"
"1487147529","21.9","35.1"
"1487147830","21.9","35.1"
"1487148130","21.8","35.0"
"1487148431","21.8","35.4"
"1487148732","21.8","36.4"
"1487149033","21.8","36.4"
"1487149636","21.9","36.5"
"1487149937","21.9","36.4"
"1487150238","21.8","36.3"
"1487150538","21.7","36.5"
"1487150839","21.8","36.6"
"1487151140","21.8","36.6"
"1487151442","21.7","36.7"
"1487151743","21.7","36.7"
"1487152044","21.7","36.4"
"1487152344","21.7","36.4"
"1487152645","21.6","36.5"
"1487152946","21.6","36.3"
"1487153246","21.7","36.1"
"1487153547","21.7","36.2"
"1487153848","21.6","36.1"
"1487154149","21.6","36.4"
"1487154451","21.5","36.5"
"1487154752","21.5","36.5"
"1487155052","21.5","36.4"
"1487155353","21.6","36.4"
"1487155654","21.5","36.4"
"1487155955","21.6","36.6"
"1487156255","21.5","36.4"
"1487156557","21.4","36.6"
"1487156858","21.4","37.0"
"1487157159","21.4","37.0"
"1487157460","21.8","36.8"
"1487157761","21.8","36.7"
"1487158062","21.8","36.7"
"1487158363","22.0","36.5"
"1487158664","22.0","36.5"
"1487159268","22.1","36.4"
"1487159569","22.1","36.3"
"1487159870","22.4","36.5"
"1487160170","22.3","36.4"
"1487160471","22.4","36.3"
"1487160772","22.6","36.4"
"1487161073","22.7","36.6"
"1487161374","22.7","36.4"
"1487161675","22.7","36.4"
"1487161976","22.9","36.4"
"1487162278","22.9","36.1"
"1487162579","22.9","36.0"
"1487162879","22.9","36.0"
"1487163180","22.8","35.7"
"1487163481","22.8","35.7"
"1487163782","22.8","35.8"
"1487164082","22.8","35.8"
"1487164383","22.8","35.8"
"1487164685","22.7","35.8"
"1487164986","22.7","35.7"
"1487165286","22.7","35.7"
"1487165587","22.7","35.7"
"1487165888","22.7","35.8"
"1487166188","22.6","35.7"
"1487166490","22.6","35.8"
"1487166790","22.6","35.3"
"1487167092","22.5","35.7"
"1487167394","22.5","35.6"
"1487167694","22.5","35.6"
"1487167995","22.5","35.7"
"1487168296","22.5","35.6"
"1487168597","22.4","35.5"
"1487168898","22.5","35.3"
"1487169199","22.5","35.3"
"1487169500","22.5","35.3"
"1487169801","22.5","35.3"
"1487170101","22.4","35.3"
"1487170402","22.4","35.2"
"1487170703","22.4","35.1"
"1487171306","22.2","35.3"
"1487171607","22.3","35.3"
"1487171908","22.3","35.2"
"1487172208","22.3","35.2"
"1487172509","22.3","35.2"
"1487172810","22.3","35.2"
"1487173412","22.2","35.3"
"1487174016","22.2","35.1"
"1487174316","22.2","35.2"
"1487174618","22.1","35.0"
"1487174919","22.2","35.0"
"1487175220","22.1","35.0"
"1487175521","22.1","35.1"
"1487175822","22.1","35.1"
"1487176123","22.1","35.0"
"1487176424","22.1","35.0"
"1487177026","22.0","35.0"
"1487177327","22.0","35.1"
"1487177930","21.8","35.2"
"1487178231","21.9","35.3"
"1487178533","21.8","35.5"
"1487179135","21.8","35.6"
"1487179437","21.8","35.5"
"1487179739","21.8","35.5"
"1487180040","21.9","35.5"
"1487180395","21.8","35.8"
"1487180696","21.8","35.7"
"1487180996","21.8","35.8"
"1487181297","21.8","36.2"
"1487181598","21.8","36.1"
"1487181898","21.9","36.1"
"1487182200","22.1","35.8"
"1487182501","22.1","35.8"
"1487182801","22.2","35.9"
"1487183102","22.2","35.9"
"1487183402","22.4","35.7"
"1487183703","22.5","35.7"
"1487184004","22.5","35.7"
"1487184305","22.7","35.7"
"1487184606","22.8","35.6"
"1487184907","22.8","35.6"
"1487185207","22.9","35.5"
"1487185508","23.1","35.4"
"1487185809","23.1","35.4"
"1487186110","23.1","35.3"
"1487186410","23.2","35.3"
"1487186711","23.3","35.3"
"1487187012","23.3","35.3"
"1487187313","23.4","35.1"
"1487187614","23.5","35.0"
"1487187916","23.5","35.1"
"1487188217","23.7","35.2"
"1487188518","23.7","35.1"
"1487188819","23.7","35.1"
"1487189119","23.7","35.0"
"1487189420","23.7","35.1"
"1487189721","23.2","35.2"
"1487190021","23.7","35.1"
"1487190322","23.5","35.2"
"1487190622","23.5","35.4"
"1487190923","23.7","35.0"
"1487191224","23.7","35.0"
"1487191526","23.5","35.1"
"1487191827","23.5","35.3"
"1487192128","23.5","35.3"
"1487192731","23.4","35.4"
"1487193033","23.3","35.5"
"1487193334","23.3","35.5"
"1487193635","23.3","35.6"
"1487193936","23.2","35.8"
"1487194237","23.2","35.6"
"1487194538","23.2","35.6"
"1487194839","23.2","35.6"
"1487195140","23.2","35.5"
"1487195441","23.1","35.6"
"1487195741","23.1","35.6"
"1487196042","23.0","35.7"
"1487196343","23.0","35.8"
"1487196945","22.9","35.7"
"1487197247","22.9","35.7"
"1487197548","22.8","36.0"
"1487197848","22.8","36.0"
"1487198451","22.8","36.3"
"1487198752","22.6","37.8"
"1487199053","22.7","37.7"
"1487199353","22.6","37.6"
"1487199654","22.5","38.0"
"1487199955","22.4","38.6"
"1487200255","22.3","38.9"
"1487200556","22.3","39.4"
"1487200857","22.2","39.6"
"1487201158","22.2","39.6"
"1487201458","22.1","40.3"
"1487201759","22.2","39.8"
"1487202061","22.1","40.8"
"1487202361","22.1","40.8"
"1487202662","22.1","40.6"
"1487202963","22.1","40.8"
"1487203566","22.0","40.8"
"1487203868","22.0","40.0"
"1487204169","22.0","40.7"
"1487204470","22.0","40.7"
"1487204771","21.8","41.1"
"1487205072","21.8","41.0"
"1487205373","21.7","40.8"
"1487205978","21.8","40.6"
"1487206882","22.2","39.5"
"1487207183","22.3","38.9"
"1487207484","22.2","38.8"
"1487207785","22.2","38.8"
"1487208086","22.2","38.8"
"1487208388","22.1","38.9"
"1487208690","22.0","39.0"
"1487208991","22.1","39.0"
"1487209292","22.2","39.0"
"1487209592","22.2","39.0"
"1487209894","22.4","38.6"
"1487210194","22.4","38.6"
"1487210495","22.5","38.5"
"1487210796","22.6","38.1"
"1487211097","22.7","38.1"
"1487211399","22.7","37.9"
"1487211701","22.8","37.8"
"1487212002","22.9","37.7"
"1487212303","23.0","37.6"
"1487212604","23.1","37.5"
"1487212905","23.2","37.5"
"1487213206","23.1","37.4"
"1487213507","23.2","37.3"
"1487213807","23.2","37.3"
"1487214108","23.3","37.3"
"1487214711","23.4","37.2"
"1487215012","23.5","37.1"
"1487215314","23.5","37.2"
"1487215615","23.5","37.1"
"1487215915","23.5","37.2"
"1487216216","23.4","37.3"
"1487216518","23.4","37.4"
"1487216820","23.4","37.5"
"1487217121","23.4","37.6"
"1487217421","23.3","37.5"
"1487218024","23.3","37.7"
"1487218325","23.3","37.8"
"1487218626","23.2","37.8"
"1487218927","23.2","37.8"
"1487219228","23.2","37.9"
"1487219529","23.1","37.8"
"1487219829","23.1","37.8"
"1487220130","23.1","37.7"
"1487220431","23.1","37.8"
"1487220732","23.1","37.7"
"1487221033","23.1","37.8"
"1487221333","23.0","37.6"
"1487221634","23.0","37.8"
"1487221936","22.9","37.9"
"1487222236","22.9","37.8"
"1487222537","22.9","37.7"
"1487222837","22.9","37.8"
"1487223139","22.7","37.9"
"1487223439","22.7","37.9"
